"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Getafe","home","win","[{""time"":24,""event"":""foul""},{""time"":28,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":45,""event"":""goal""}]","1.13","54%","18","5","3","2","8","5","1","12","23","12","3",
"Almeria","away","loss","[{""time"":7,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":64,""event"":""foul""}]","1.84","46%","13","4","6","4","5","4","4","12","29","8","3",
"Valencia","home","draw","[{""time"":77,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.30","55%","8","0","5","3","6","2","0","5","16","13","1",
"Celta Vigo","away","draw","[{""time"":71,""event"":""foul""},{""time"":79,""event"":""foul""}]","0.72","45%","13","1","7","2","3","9","1","10","16","7","0",
"Rayo Vallecano","home","draw","[{""time"":39,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.65","33%","10","4","1","3","3","3","2","15","16","23","3",
"Barcelona","away","draw","[{""time"":31,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.52","67%","15","4","4","4","6","5","2","29","19","13","3",
"Alaves","home","win","[{""time"":9,""event"":""foul""},{""time"":11,""event"":""goal""},{""time"":38,""event"":""goal""},{""time"":55,""event"":""goal""}]","0.81","43%","8","5","6","1","1","2","2","14","23","10","3",
"Granada CF","away","loss","[{""time"":16,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.22","57%","11","4","2","3","2","5","1","11","27","13","3",
"Atl. Madrid","home","win","[{""time"":46,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":85,""event"":""goal""}]","3.52","50%","25","10","6","0","10","5","7","8","15","8","6",
"Villarreal","away","loss","[{""time"":20,""event"":""goal""},{""time"":36,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":77,""event"":""foul""}]","0.86","50%","11","7","3","2","3","1","1","17","12","8","7",
"Sevilla","home","draw","[{""time"":27,""event"":""foul""},{""time"":79,""event"":""goal""}]","0.61","61%","13","4","9","1","7","2","4","15","28","18","5",
"Betis","away","draw","[{""time"":15,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":72,""event"":""goal""}]","1.68","39%","14","6","5","1","5","3","1","24","17","14","3",
"Barcelona","home","win","[{""time"":53,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":78,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.49","72%","11","6","2","2","5","0","3","11","12","11","0",
"Alaves","away","loss","[{""time"":1,""event"":""goal""},{""time"":75,""event"":""foul""}]","1.71","28%","8","1","1","1","6","1","2","14","8","10","4",
"Real Madrid","home","win","[{""time"":3,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":84,""event"":""goal""}]","1.99","56%","16","7","4","1","6","3","4","26","11","7","3",
"Valencia","away","loss","[{""time"":34,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":88,""event"":""goal""}]","2.11","44%","10","4","4","3","3","3","0","12","18","26","2",
"Granada CF","home","draw","[{""time"":39,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":80,""event"":""foul""}]","1.90","58%","12","6","3","4","4","2","5","13","25","14","5",
"Getafe","away","draw","[{""time"":2,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":84,""event"":""foul""}]","2.59","42%","10","6","5","2","3","1","3","19","23","9","5",
"Osasuna","home","draw","[{""time"":73,""event"":""goal""},{""time"":84,""event"":""foul""}]","1.02","45%","11","3","8","1","5","3","1","14","22","25","0",
"Las Palmas","away","draw","[{""time"":70,""event"":""goal""},{""time"":87,""event"":""foul""}]","0.44","55%","6","1","3","1","3","2","3","22","15","10","2",
"Almeria","home","loss","[{""time"":27,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":92,""event"":""foul""}]","0.40","46%","7","2","5","3","4","1","5","20","14","18","3",
"Real Sociedad","away","win","[{""time"":32,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":91,""event"":""goal""},{""time"":95,""event"":""goal""}]","2.16","54%","18","6","5","2","8","4","4","21","21","19","1",
"Rayo Vallecano","home","loss","[{""time"":5,""event"":""goal""},{""time"":44,""event"":""foul""}]","1.81","46%","22","9","8","1","10","3","1","12","19","15","5",
"Girona","away","win","[{""time"":14,""event"":""foul""},{""time"":42,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":84,""event"":""foul""}]","3.95","54%","19","7","3","2","7","5","1","13","19","13","8",
"Ath Bilbao","home","win","[{""time"":37,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":98,""event"":""goal""}]","4.87","58%","21","12","7","2","4","5","2","14","21","15","2",
"Celta Vigo","away","loss","[{""time"":25,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":41,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":72,""event"":""foul""}]","2.57","42%","13","5","2","2","6","2","3","15","16","13","8",
"Getafe","home","win","[{""time"":13,""event"":""foul""},{""time"":23,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":89,""event"":""foul""}]","1.09","45%","13","3","6","7","4","6","1","17","29","18","2","1"
"Cadiz CF","away","loss","[{""time"":49,""event"":""foul""}]","0.58","55%","6","2","3","1","4","0","5","18","24","12","2","0"
"Real Madrid","home","draw","[{""time"":63,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":96,""event"":""foul""}]","2.33","63%","22","5","11","3","12","5","2","17","26","12","0",
"Rayo Vallecano","away","draw","[{""time"":45,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.17","37%","4","0","1","5","1","3","2","14","17","15","5",
"Villarreal","home","loss","[{""time"":19,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":86,""event"":""goal""},{""time"":87,""event"":""goal""}]","2.41","58%","17","6","9","4","7","4","5","24","19","11","4",
"Ath Bilbao","away","win","[{""time"":2,""event"":""goal""},{""time"":22,""event"":""goal""},{""time"":30,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":95,""event"":""foul""}]","2.00","42%","17","7","3","4","6","4","5","14","16","18","4",
"Valencia","home","win","[{""time"":24,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":83,""event"":""foul""}]","1.48","51%","11","2","0","3","6","3","1","10","23","20","1",
"Granada CF","away","loss","[{""time"":12,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.21","49%","6","1","4","5","2","3","2","12","25","15","1",
"Alaves","home","win","[{""time"":25,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":93,""event"":""foul""}]","2.55","56%","23","3","12","2","14","6","1","12","35","13","3",
"Almeria","away","loss","[{""time"":14,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":59,""event"":""foul""}]","0.66","44%","9","3","6","3","5","1","1","15","25","14","2",
"Real Sociedad","home","loss","[{""time"":49,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.70","51%","13","6","8","3","5","2","2","10","19","16","3",
"Barcelona","away","win","[{""time"":49,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":92,""event"":""goal""}]","0.88","49%","12","4","3","3","4","4","1","17","18","8","6",
"Celta Vigo","home","draw","[{""time"":22,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":65,""event"":""foul""}]","2.15","39%","15","3","4","2","8","4","1","11","21","14","4","1"
"Sevilla","away","draw","[{""time"":28,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":89,""event"":""foul""}]","0.93","61%","13","5","6","5","5","3","1","13","33","10","2","0"
"Betis","home","win","[{""time"":1,""event"":""foul""},{""time"":7,""event"":""goal""},{""time"":65,""event"":""goal""}]","2.03","57%","22","3","6","1","13","6","2","17","17","13","1","0"
"Mallorca","away","loss","[{""time"":16,""event"":""foul""},{""time"":26,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":45,""event"":""foul""}]","0.55","43%","8","1","1","4","6","1","2","15","21","16","1","1"
"Osasuna","home","loss","[{""time"":25,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.14","50%","15","3","2","5","7","5","0","17","18","14","0",
"Girona","away","win","[{""time"":16,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":90,""event"":""goal""},{""time"":95,""event"":""foul""}]","2.78","50%","11","4","7","3","6","1","5","14","10","10","1",
"Las Palmas","home","win","[{""time"":51,""event"":""goal""},{""time"":75,""event"":""goal""}]","0.44","53%","9","3","3","0","3","3","1","12","16","12","4",
"Atl. Madrid","away","loss","[{""time"":62,""event"":""foul""},{""time"":83,""event"":""goal""},{""time"":93,""event"":""foul""},{""time"":99,""event"":""foul""}]","1.20","47%","13","5","4","3","3","5","3","13","26","9","1",
"Granada CF","home","loss","[{""time"":29,""event"":""goal""},{""time"":34,""event"":""goal""}]","2.08","45%","18","8","4","0","9","1","0","16","17","14","2",
"Villarreal","away","win","[{""time"":18,""event"":""goal""},{""time"":23,""event"":""goal""},{""time"":28,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.32","55%","6","5","1","4","0","1","4","12","18","15","6",
"Atl. Madrid","home","win","[{""time"":26,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":83,""event"":""foul""}]","1.55","64%","11","7","4","3","3","1","5","10","14","10","0",
"Alaves","away","loss","[{""time"":71,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":96,""event"":""goal""}]","0.39","36%","8","1","4","2","4","3","1","13","14","11","5",
"Ath Bilbao","home","draw","[{""time"":12,""event"":""foul""},{""time"":32,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":97,""event"":""goal""}]","1.77","57%","12","7","10","3","4","1","3","12","32","11","3",
"Valencia","away","draw","[{""time"":57,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":68,""event"":""goal""}]","1.56","43%","11","5","4","1","3","3","2","15","25","10","5",
"Rayo Vallecano","home","draw","[{""time"":13,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":92,""event"":""foul""}]","0.93","55%","16","7","4","3","5","4","2","19","31","17","1",
"Real Sociedad","away","draw","[{""time"":41,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":74,""event"":""foul""}]","1.84","45%","15","3","5","2","8","4","3","18","27","16","5",
"Betis","home","win","[{""time"":46,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":94,""event"":""goal""}]","1.00","50%","9","2","6","3","7","0","1","25","29","10","0",
"Osasuna","away","loss","[{""time"":54,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":85,""event"":""goal""},{""time"":92,""event"":""foul""}]","0.39","50%","7","1","3","4","5","1","1","11","16","25","0",
"Cadiz CF","home","draw","[{""time"":4,""event"":""foul""},{""time"":8,""event"":""goal""},{""time"":11,""event"":""foul""},{""time"":14,""event"":""foul""},{""time"":24,""event"":""foul""},{""time"":28,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":77,""event"":""foul""}]","0.43","35%","10","5","2","6","3","2","3","21","10","17","8",
"Sevilla","away","draw","[{""time"":3,""event"":""foul""},{""time"":32,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":79,""event"":""foul""}]","0.04","65%","20","10","4","4","7","3","4","18","30","14","3",
"Mallorca","home","draw","[]","0.78","59%","15","4","8","0","7","4","7","25","27","10","0",
"Getafe","away","draw","[{""time"":75,""event"":""foul""}]","0.25","41%","8","0","3","1","3","5","1","15","21","25","4",
"Barcelona","home","loss","[{""time"":6,""event"":""goal""},{""time"":17,""event"":""foul""},{""time"":47,""event"":""foul""}]","1.02","52%","15","3","6","2","7","5","1","15","22","15","2",
"Real Madrid","away","win","[{""time"":61,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":92,""event"":""goal""}]","1.15","48%","13","4","3","1","4","5","0","16","11","15","2",
"Almeria","home","loss","[{""time"":18,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":32,""event"":""foul""},{""time"":73,""event"":""goal""}]","0.24","40%","10","4","3","3","3","3","6","20","28","13","1",
"Las Palmas","away","win","[{""time"":23,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":94,""event"":""goal""}]","0.74","60%","10","3","2","1","5","2","1","21","22","19","3",
"Girona","home","win","[{""time"":52,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":91,""event"":""goal""}]","0.61","65%","12","2","10","3","7","3","0","11","22","15","2",
"Celta Vigo","away","loss","[{""time"":55,""event"":""foul""},{""time"":77,""event"":""foul""}]","0.17","35%","4","2","1","2","0","2","0","15","16","12","1",
"Valencia","home","win","[{""time"":4,""event"":""goal""},{""time"":25,""event"":""goal""}]","1.50","62%","12","4","4","0","5","3","4","16","17","16","4","0"
"Cadiz CF","away","loss","[{""time"":22,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.42","38%","5","4","6","3","1","0","2","18","16","16","2","1"
"Barcelona","home","win","[{""time"":16,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":83,""event"":""foul""}]","1.49","62%","12","7","4","3","4","1","4","21","19","11","3",
"Ath Bilbao","away","loss","[{""time"":37,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.52","38%","10","3","7","3","5","2","4","15","17","18","6",
"Villarreal","home","draw","[{""time"":9,""event"":""foul""},{""time"":23,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":65,""event"":""goal""}]","1.53","69%","12","3","9","4","4","5","2","11","24","15","6",
"Alaves","away","draw","[{""time"":14,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":48,""event"":""goal""}]","1.87","31%","16","7","3","3","5","4","1","16","18","10","2",
"Girona","home","win","[{""time"":37,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":43,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":85,""event"":""goal""}]","1.67","67%","19","8","9","1","6","5","3","17","11","11","3",
"Almeria","away","loss","[{""time"":2,""event"":""goal""},{""time"":24,""event"":""goal""},{""time"":26,""event"":""foul""},{""time"":74,""event"":""foul""}]","0.86","33%","9","5","6","2","3","1","1","15","14","14","3",
"Las Palmas","home","loss","[{""time"":20,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.41","61%","12","6","10","4","4","2","2","10","9","13","3","0"
"Rayo Vallecano","away","win","[{""time"":79,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":94,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.38","39%","12","4","5","3","7","1","2","15","18","11","6","1"
"Celta Vigo","home","loss","[{""time"":25,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":87,""event"":""foul""}]","0.77","36%","16","3","7","3","9","4","0","16","10","10","4","1"
"Atl. Madrid","away","win","[{""time"":29,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":87,""event"":""foul""}]","1.91","64%","12","7","5","2","1","4","6","10","13","10","3","0"
"Sevilla","home","loss","[{""time"":74,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.20","49%","17","7","4","5","8","2","1","8","10","13","4",
"Real Madrid","away","win","[{""time"":4,""event"":""foul""},{""time"":78,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.90","51%","14","5","6","2","5","4","1","12","19","6","6",
"Getafe","home","draw","[{""time"":17,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":89,""event"":""foul""}]","1.59","45%","14","4","4","5","4","6","2","12","23","17","2",
"Betis","away","draw","[{""time"":1,""event"":""goal""},{""time"":34,""event"":""foul""},{""time"":41,""event"":""foul""}]","0.98","55%","13","3","8","2","6","4","1","19","22","11","3",
"Real Sociedad","home","win","[{""time"":47,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.30","56%","14","6","2","3","6","2","1","19","24","14","7",
"Mallorca","away","loss","[{""time"":15,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.67","44%","18","7","5","3","7","4","4","16","21","16","5",
"Osasuna","home","win","[{""time"":11,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":88,""event"":""foul""}]","2.24","57%","12","6","1","3","3","3","3","14","32","19","3","0"
"Granada CF","away","loss","[{""time"":42,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":76,""event"":""foul""}]","0.66","43%","13","3","7","4","5","5","1","22","17","13","4","1"
"Granada CF","home","loss","[{""time"":1,""event"":""goal""},{""time"":29,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":98,""event"":""foul""}]","0.71","19%","7","2","1","5","4","1","2","10","13","12","8",
"Barcelona","away","win","[{""time"":46,""event"":""goal""},{""time"":85,""event"":""goal""},{""time"":94,""event"":""foul""},{""time"":98,""event"":""foul""}]","3.35","81%","22","10","11","1","8","4","4","14","19","7","0",
"Alaves","home","draw","[{""time"":35,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.32","39%","15","5","5","3","8","2","1","11","24","13","1","0"
"Betis","away","draw","[{""time"":32,""event"":""goal""},{""time"":34,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.07","61%","6","2","3","3","3","1","1","11","17","9","4","1"
"Celta Vigo","home","loss","[{""time"":14,""event"":""foul""},{""time"":24,""event"":""goal""},{""time"":53,""event"":""foul""}]","2.71","74%","26","11","13","1","6","9","3","20","22","14","0","0"
"Getafe","away","win","[{""time"":2,""event"":""goal""},{""time"":9,""event"":""foul""},{""time"":13,""event"":""foul""},{""time"":27,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.74","26%","3","2","1","8","1","0","2","18","13","20","9","1"
"Atl. Madrid","home","win","[{""time"":22,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":89,""event"":""goal""},{""time"":96,""event"":""foul""},{""time"":97,""event"":""foul""}]","2.45","37%","14","5","1","3","6","3","0","14","22","9","3",
"Real Sociedad","away","loss","[{""time"":15,""event"":""foul""},{""time"":73,""event"":""goal""},{""time"":86,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.26","63%","13","4","4","3","6","3","2","9","16","12","3",
"Villarreal","home","loss","[{""time"":46,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":92,""event"":""goal""},{""time"":96,""event"":""foul""},{""time"":100,""event"":""foul""}]","1.13","49%","9","4","7","4","4","1","4","13","16","17","3",
"Las Palmas","away","win","[{""time"":47,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.11","51%","8","5","2","4","3","0","5","18","12","7","3",
"Sevilla","home","draw","[{""time"":36,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":96,""event"":""goal""},{""time"":97,""event"":""foul""}]","0.90","64%","22","6","12","5","11","5","2","20","31","16","2",
"Rayo Vallecano","away","draw","[{""time"":21,""event"":""goal""},{""time"":26,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.94","36%","7","4","2","2","2","1","1","16","21","19","4",
"Mallorca","home","draw","[{""time"":5,""event"":""goal""},{""time"":16,""event"":""foul""},{""time"":36,""event"":""foul""}]","0.63","49%","9","5","3","2","2","2","4","11","26","17","2",
"Valencia","away","draw","[{""time"":48,""event"":""goal""},{""time"":69,""event"":""foul""}]","0.54","51%","11","3","6","1","3","5","0","19","24","11","4",
"Real Madrid","home","win","[{""time"":9,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":84,""event"":""foul""}]","3.54","67%","19","9","5","2","7","3","2","7","19","9","1",
"Osasuna","away","loss","[{""time"":83,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.32","33%","7","1","4","2","3","3","1","12","14","6","5",
"Cadiz CF","home","loss","[{""time"":2,""event"":""foul""},{""time"":10,""event"":""foul""}]","0.14","26%","8","2","5","1","5","1","0","16","14","12","4","1"
"Girona","away","win","[{""time"":4,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":90,""event"":""foul""}]","1.23","74%","20","5","5","3","8","7","3","12","10","13","2","0"
"Ath Bilbao","home","win","[{""time"":10,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":84,""event"":""foul""}]","2.18","60%","23","9","6","2","13","1","0","11","20","11","1",
"Almeria","away","loss","[]","0.09","40%","4","1","2","0","1","2","2","11","22","7","6",
"Las Palmas","home","win","[{""time"":74,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":97,""event"":""goal""},{""time"":98,""event"":""foul""}]","1.79","74%","16","5","4","2","4","7","2","14","32","13","2",
"Celta Vigo","away","loss","[{""time"":34,""event"":""foul""},{""time"":67,""event"":""goal""},{""time"":83,""event"":""foul""}]","1.49","26%","11","3","5","1","5","3","2","13","13","14","3",
"Atl. Madrid","home","win","[{""time"":12,""event"":""foul""},{""time"":32,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":66,""event"":""goal""}]","2.64","70%","18","9","5","1","7","2","2","9","16","5","2",
"Cadiz CF","away","loss","[{""time"":12,""event"":""goal""},{""time"":27,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.75","30%","8","4","3","3","3","1","0","7","14","10","6",
"Betis","home","win","[{""time"":11,""event"":""foul""},{""time"":41,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":85,""event"":""goal""},{""time"":90,""event"":""foul""}]","1.80","55%","15","7","5","2","4","4","5","13","19","11","2",
"Valencia","away","loss","[{""time"":40,""event"":""foul""},{""time"":43,""event"":""foul""}]","0.69","45%","9","2","3","2","7","0","2","15","22","10","4",
"Alaves","home","loss","[{""time"":49,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":85,""event"":""foul""}]","1.44","46%","17","3","4","2","6","8","5","15","24","13","1","1"
"Osasuna","away","win","[{""time"":36,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":90,""event"":""goal""}]","1.14","54%","10","3","2","3","5","2","1","19","19","13","3","0"
"Almeria","home","draw","[{""time"":41,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":82,""event"":""foul""}]","2.91","49%","17","5","1","2","9","3","0","18","18","18","1",
"Granada CF","away","draw","[{""time"":56,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":86,""event"":""goal""},{""time"":88,""event"":""foul""}]","2.89","51%","19","4","5","1","10","5","4","17","18","14","2",
"Real Sociedad","home","win","[{""time"":30,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":77,""event"":""foul""}]","1.37","51%","8","5","5","2","1","2","2","14","24","20","3",
"Ath Bilbao","away","loss","[{""time"":29,""event"":""foul""},{""time"":44,""event"":""foul""}]","1.64","49%","18","3","7","2","10","5","2","24","24","9","2",
"Girona","home","loss","[{""time"":64,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.92","52%","13","3","1","2","8","2","0","15","21","13","4","0"
"Real Madrid","away","win","[{""time"":17,""event"":""goal""},{""time"":21,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":95,""event"":""foul""}]","2.23","48%","14","7","4","2","3","4","0","15","12","14","3","1"
"Rayo Vallecano","home","draw","[{""time"":4,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":102,""event"":""goal""}]","1.64","61%","19","5","5","2","9","5","1","23","17","12","2",
"Mallorca","away","draw","[{""time"":44,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":96,""event"":""foul""},{""time"":100,""event"":""foul""}]","1.38","39%","9","4","0","5","3","2","2","12","17","20","3",
