"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Crystal Palace","home","win","[{""time"":7,""event"":""goal""},{""time"":16,""event"":""goal""},{""time"":20,""event"":""goal""},{""time"":31,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":66,""event"":""foul""}]","2.66","61%","18","7","4","3","11","0","14","22","9","0",,
"West Ham","away","loss","[{""time"":27,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":53,""event"":""foul""},{""time"":89,""event"":""goal""}]","1.32","39%","4","1","0","2","3","5","9","25","9","2",,
"Everton","home","win","[{""time"":29,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":100,""event"":""foul""},{""time"":106,""event"":""foul""}]","0.42","41%","7","4","6","4","3","0","9","19","15","3",,
"Nottingham","away","loss","[{""time"":81,""event"":""foul""},{""time"":101,""event"":""foul""}]","0.85","59%","8","3","4","2","5","1","14","23","9","2",,
"Wolves","home","loss","[{""time"":32,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":51,""event"":""foul""}]","0.13","46%","5","3","1","3","2","1","10","8","14","7",,
"Arsenal","away","win","[{""time"":29,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":95,""event"":""goal""}]","1.27","54%","24","9","2","2","15","2","15","23","9","3",,
"Luton","home","loss","[{""time"":88,""event"":""foul""},{""time"":92,""event"":""goal""}]","0.25","52%","6","3","4","1","3","0","6","14","13","4",,
"Brentford","away","win","[{""time"":24,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":86,""event"":""goal""}]","3.68","48%","21","9","9","2","12","0","13","17","9","2",,
"Sheffield Utd","home","loss","[{""time"":52,""event"":""goal""},{""time"":76,""event"":""foul""}]","2.92","49%","18","11","11","1","7","2","10","21","10","5",,
"Burnley","away","win","[{""time"":38,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":71,""event"":""goal""}]","1.94","51%","16","9","2","0","7","1","12","17","9","10",,
"Chelsea","home","win","[{""time"":13,""event"":""goal""},{""time"":18,""event"":""goal""},{""time"":29,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":44,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":90,""event"":""goal""}]","2.92","59%","14","10","4","1","4","0","19","13","5","2",,
"Everton","away","loss","[{""time"":28,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.39","41%","10","2","8","4","8","4","5","16","21","4",,
"Arsenal","home","loss","[{""time"":36,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":63,""event"":""foul""}]","1.49","51%","18","4","4","3","14","5","7","14","12","0",,
"Aston Villa","away","win","[{""time"":14,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":87,""event"":""goal""}]","0.97","49%","11","2","6","1","9","1","17","14","7","4",,
"Liverpool","home","loss","[{""time"":48,""event"":""foul""},{""time"":71,""event"":""foul""}]","2.97","70%","21","6","11","1","15","2","13","20","10","4",,
"Crystal Palace","away","win","[{""time"":14,""event"":""goal""},{""time"":97,""event"":""foul""}]","1.94","30%","8","5","1","1","3","5","12","21","10","6",,
"West Ham","home","loss","[{""time"":60,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.02","58%","15","4","8","1","11","1","10","20","6","8",,
